symbol,pValMinFixed,pValMinRand,pValMin,nCpGs,pValMinScore,EnsID,scoreSplineResid
A1BG,0.00167942978763022,0.003876831,0.00167942978763022,16,2.774838148108211,ENSG00000121410,0.4260330227411285
A1CF,0.2193899,0.2193899,0.2193899,5,0.6587833698115944,ENSG00000148584,-0.5209416001666677
A2M,0.02141582,0.02308914,0.02141582,14,1.6692652920515714,ENSG00000175899,-0.04627076584033243
A2ML1,0.005621827,0.005621827,0.005621827,15,2.2501225230297854,ENSG00000166535,0.22754941041247792
A4GALT,0.05053588,0.1571724,0.05053588,22,1.2964001673666508,ENSG00000128274,-0.47906367474788153
A4GNT,0.08769235,0.2968588,0.08769235,5,1.0570382914423753,ENSG00000118017,-0.0959869189370847
AAAS,0.01267691,0.01267691,0.01267691,12,1.8969865929439194,ENSG00000094914,0.1564842453846005
AACS,0.003544478,0.003544478,0.003544478,55,2.4504477148989867,ENSG00000081760,-0.3069882998738039
AADAC,0.2402094,0.2900891,0.2402094,4,0.6194100015615384,ENSG00000114771,-0.5202475655936738
AADACL2,0.1065948,0.1065948,0.1065948,1,0.9722639809228513,ENSG00000197953,0.10047016075305688
AADACL3,0.04187861,0.06635595,0.06635595,8,1.1781201287707503,ENSG00000188984,-0.14828453516855697
AADACL4,0.2859474,0.3407181,0.2859474,5,0.5437138479572684,ENSG00000204518,-0.6766372267218902
AADAT,0.007813694,0.03236208,0.007813694,12,2.107143600625136,ENSG00000109576,0.2691227511118521
AAGAB,0.06002112,0.06002112,0.06002112,17,1.221695904857826,ENSG00000103591,-0.42038064655648005
AAK1,0.01435457,0.01435457,0.01435457,27,1.8430098125317556,ENSG00000115977,-0.25991810959252415
AAMP,0.06792547,0.06792547,0.06792547,14,1.1679673478647965,ENSG00000127837,-0.3783139652709441
AANAT,4.1606700426192e-5,4.1606700426192e-5,4.1606700426192e-5,23,4.380836724089693,ENSG00000129673,0.7600144201748248
AARS,0.01653871,0.07121896,0.07121896,21,1.1474043725539158,ENSG00000090861,-0.5615150121238561
AARS2,0.03768818,0.1281264,0.03768818,17,1.423794834559993,ENSG00000124608,-0.28475025756380457
AARSD1,7.09833313546071e-4,7.09833313546071e-4,7.09833313546071e-4,29,3.148843622416256,ENSG00000266967,0.23715048316933035
AASDH,0.2018112,0.2018112,0.2018112,15,0.6950547352090073,ENSG00000157426,-0.8247754971018572
AASDHPPT,0.03742394,0.08195996,0.03742394,32,1.4268504918177836,ENSG00000149313,-0.5558077425295288
AASS,0.07436761,0.07436761,0.07436761,22,1.1286161754910078,ENSG00000008311,-0.5940524152062229
AATF,0.1090588,0.1090588,0.1090588,16,0.9623392852687231,ENSG00000108270,-0.5956784210933495
AATK,3.82268185337648e-5,4.70103267396294e-4,3.82268185337648e-5,86,4.4176318450812895,ENSG00000181409,0.09816129925272848
ABAT,7.47311164876579e-4,7.47311164876579e-4,7.47311164876579e-4,35,3.126498529308038,ENSG00000183044,0.13074385659525034
ABCA1,0.09281594,0.1287805,0.09281594,17,1.0323774326220105,ENSG00000165029,-0.562361781719923
ABCA10,0.1265525,0.1265525,0.1265525,3,0.897729271086679,ENSG00000154263,-0.128493121550312
ABCA11P,0.001910097,0.01030619,0.01030619,10,1.9869018553553492,ENSG00000251595,0.2927904767537302
ABCA12,0.374558,0.374558,0.374558,5,0.42648092261178977,ENSG00000144452,-0.8615975987093127
ABCA13,0.005588699,0.005588699,0.005588699,20,2.252689280285556,ENSG00000179869,0.08068536848945926
ABCA17P,0.03823283,0.03823283,0.03823283,12,1.4175635542463314,ENSG00000238098,-0.13568089782816778
ABCA2,4.74626420625213e-4,0.02666851,4.74626420625213e-4,39,3.3236480899442875,ENSG00000107331,0.1400655264911199
ABCA3,0.00114050027291173,0.00405172647247043,0.00114050027291173,52,2.942904606464453,ENSG00000167972,-0.11410203743431697
ABCA4,0.008664102,0.008664102,0.008664102,24,2.0622764435276575,ENSG00000198691,-0.09841097489413991
ABCA5,0.01859769,0.01859769,0.01859769,19,1.7305409957044007,ENSG00000154265,-0.15450050837113716
ABCA6,0.4617947,0.386983,0.4617947,2,0.3355510557712951,ENSG00000154262,-0.8893449251291549
ABCA7,0.01694248,0.01694248,0.01694248,25,1.7710230183569506,ENSG00000064687,-0.2609745977846348
ABCA8,0.06632006,0.06632006,0.06632006,5,1.1783550895498045,ENSG00000141338,0.011121736077120152
ABCA9,0.2075128,0.2075128,0.2075128,6,0.6829551095643317,ENSG00000154258,-0.5393425383567972
ABCB1,0.004914347,0.004914347,0.004914347,30,2.3085341814203137,ENSG00000085563,-0.0976022452505493
ABCB10,0.05683803,0.111277,0.111277,9,0.9535945913284494,ENSG00000135776,-0.38443053428374485
ABCB11,0.1337175,0.1337175,0.1337175,6,0.873811751630428,ENSG00000073734,-0.3272080633444994
ABCB4,0.01321726,0.02244478,0.01321726,13,1.8788585668030828,ENSG00000005471,0.10816557260397605
ABCB5,0.1147381,0.1147381,0.1147381,13,0.940292346072435,ENSG00000004846,-0.5339280110221788
ABCB6,7.53300421488637e-4,0.0014357566233911,7.53300421488637e-4,15,3.123031789569754,ENSG00000115657,0.6018344346008386
ABCB8,0.03124836,0.03124836,0.03124836,27,1.5051727706923934,ENSG00000197150,-0.43948444886412996
ABCB9,0.0024748,0.0024748,0.0024748,45,2.606459892652037,ENSG00000150967,-0.16829398486226238
ABCC1,6.45214651153296e-6,6.45214651153296e-6,6.45214651153296e-6,46,5.190295779468466,ENSG00000103222,0.5520712857062507
ABCC10,0.1467969,0.1467969,0.1467969,6,0.8332831155855427,ENSG00000124574,-0.36935315721717
ABCC11,0.08077037,0.08077037,0.08077037,12,1.0927479276598346,ENSG00000121270,-0.37419698677212065
ABCC12,4.76565572767304e-4,0.00185456460865027,4.76565572767304e-4,9,3.3218773344134536,ENSG00000140798,0.9724742155162981
ABCC13,0.002143609,0.07197647,0.002143609,7,2.6688544282275433,ENSG00000243064,0.8130249300305422
ABCC2,0.01458117,0.01458117,0.01458117,21,1.836207626624546,ENSG00000023839,-0.14554370433410155
ABCC3,2.72778104064636e-4,2.72778104064636e-4,2.72778104064636e-4,20,3.564190493493382,ENSG00000108846,0.591409682145501
ABCC4,0.008772068,0.03867728,0.008772068,23,2.056898010383673,ENSG00000125257,-0.08018498483502327
ABCC5,0.02506894,0.02506894,0.02506894,27,1.6008640291005511,ENSG00000114770,-0.3860217958585732
ABCC6,0.100643,0.1653968,0.100643,4,0.9972164261115734,ENSG00000091262,-0.0919168317862272
