ensembl_gene_id,symbol,stage_estimate,stage_pVal,FDR,FDRsignif
ENSG00000183723,CMTM4,0.8939166781469443,6.093159202051698e-11,1.8275169952451053e-6,TRUE
ENSG00000231312,AC007246.3,-1.4876537614134184,8.829437603851122e-11,1.8275169952451053e-6,TRUE
ENSG00000260257,RP5-1085F17.3,0.8029801337959621,2.3089509640123296e-10,2.2762216697417426e-6,TRUE
ENSG00000129159,KCNC1,1.8493976990721661,2.3237986749644892e-10,2.2762216697417426e-6,TRUE
ENSG00000168246,UBTD2,0.18677740205931428,2.749325622936688e-10,2.2762216697417426e-6,TRUE
ENSG00000231025,RP11-175O19.4,0.08291397715914635,5.592755660890959e-10,3.3114411376225144e-6,TRUE
ENSG00000113108,APBB3,-0.7781341761059115,5.599596087389507e-10,3.3114411376225144e-6,TRUE
ENSG00000111181,SLC6A12,1.3672057562555198,1.0989063900408227e-9,5.08581857203707e-6,TRUE
ENSG00000102547,CAB39L,0.8305924701524809,1.1057195658598325e-9,5.08581857203707e-6,TRUE
ENSG00000164684,ZNF704,0.13857179434336,4.741343683190789e-9,1.8225641167892822e-5,TRUE
ENSG00000184164,CRELD2,-0.761842449210459,5.028537617524875e-9,1.8225641167892822e-5,TRUE
ENSG00000184313,MROH7,-0.4714344631265737,5.2833050056699654e-9,1.8225641167892822e-5,TRUE
ENSG00000111328,CDK2AP1,6.1405081587031445,6.637705196743804e-9,1.9775458858744427e-5,TRUE
ENSG00000162852,CNST,0.43516313950176305,6.6879994207754855e-9,1.9775458858744427e-5,TRUE
ENSG00000084090,STARD7,1.519620848738804,7.610653294880332e-9,2.0660435449669346e-5,TRUE
ENSG00000169740,ZNF32,1.4731857055704802,8.370871594820853e-9,2.0660435449669346e-5,TRUE
ENSG00000180479,ZNF571,0.1283771086886309,8.484573452613269e-9,2.0660435449669346e-5,TRUE
ENSG00000112031,MTRF1L,0.2715619522697653,9.823809683490361e-9,2.1256881668261248e-5,TRUE
ENSG00000102974,CTCF,0.3015454141034223,1.0009176664262484e-8,2.1256881668261248e-5,TRUE
ENSG00000161956,SENP3,1.0487462606290336,1.0727874554647905e-8,2.1256881668261248e-5,TRUE
ENSG00000179051,RCC2,0.40122735110653956,1.1169459471137016e-8,2.1256881668261248e-5,TRUE
ENSG00000100811,YY1,0.3157237602146597,1.1297018955979984e-8,2.1256881668261248e-5,TRUE
ENSG00000135631,RAB11FIP5,0.6228033329541395,1.4577270572655461e-8,2.6236551853288934e-5,TRUE
ENSG00000180008,SOCS4,0.1286475321005858,1.608220398911483e-8,2.7083624774526302e-5,TRUE
ENSG00000048540,LMO3,3.1826542634307766,1.635642620937186e-8,2.7083624774526302e-5,TRUE
ENSG00000177830,CHID1,-0.8284661354244544,1.8888217200946744e-8,2.9669114216250786e-5,TRUE
ENSG00000067057,PFKP,6.505448658440604,1.9351292004994956e-8,2.9669114216250786e-5,TRUE
ENSG00000088367,EPB41L1,1.7503644386196595,2.061851015111562e-8,3.003536077588498e-5,TRUE
ENSG00000144619,CNTN4,0.239574952992978,2.1041295354639683e-8,3.003536077588498e-5,TRUE
ENSG00000100104,SRRD,0.2338230332884779,2.3332493493494317e-8,3.157842901434519e-5,TRUE
ENSG00000169427,KCNK9,0.26172339761907143,2.3647968389329907e-8,3.157842901434519e-5,TRUE
ENSG00000108474,PIGL,-0.31728755612851073,2.482571453829092e-8,3.211516496959659e-5,TRUE
ENSG00000251632,RP11-714L20.1,0.06145600803072073,2.8972558856505322e-8,3.634388019466347e-5,TRUE
ENSG00000134824,FADS2,-3.628445244941413,3.346084716963852e-8,4.0739565571598714e-05,TRUE
ENSG00000140688,C16orf58,-0.9069270191305949,3.9859213898324165e-8,4.706976775499956e-5,TRUE
ENSG00000165006,UBAP1,0.7696852286859742,4.09341878244271e-8,4.706976775499956e-5,TRUE
ENSG00000118007,STAG1,0.09218345245373685,4.29130145365287e-8,4.7860439870134124e-5,TRUE
ENSG00000111269,CREBL2,0.7365146242526621,4.393411718680782e-8,4.7860439870134124e-5,TRUE
ENSG00000119844,AFTPH,0.3909934600221979,4.588656623593042e-8,4.8705648612886554e-5,TRUE
ENSG00000231355,AP000302.58,0.04712543756543607,4.888522353304912e-8,5.033541540304771e-5,TRUE
