Run,AUC,TSize,time,Method
simResultsRaw/pathwayPCA_sim_20201201/sim001,0.44666666666666666,0.08888888888888889,3.55511969725291,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim002,0.1288888888888889,0.2,5.19623939990997,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim003,0.7244444444444444,0.2222222222222222,4.05897983312607,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim004,0.8466666666666667,0.06666666666666667,3.55384038289388,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim005,0.4355555555555556,0.08888888888888889,3.54754108190536,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim006,0.56,0.17777777777777778,3.53516331513723,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim007,0.6377777777777778,0.24444444444444444,3.50179833173752,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim008,0.7022222222222222,0.2,3.48935148318609,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim009,0.5644444444444444,0.08888888888888889,3.40464234749476,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim010,0.4622222222222222,0.06666666666666667,3.33200125296911,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim011,0.5822222222222222,0.08888888888888889,3.433351679643,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim012,0.6,0.06666666666666667,3.41729848384857,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim013,0.4,0.06666666666666667,3.36456079880397,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim014,0.30666666666666675,0.022222222222222223,3.31856739918391,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim015,0.6111111111111112,0.2,3.35181984901428,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim016,0.3088888888888889,0.26666666666666666,3.38654568592707,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim017,0.39555555555555555,0.2,3.39068361520767,sCCA
simResultsRaw/pathwayPCA_sim_20201201/sim018,0.47111111111111115,0.08888888888888889,3.37341623306274,sCCA
