EnsID,snp_score,rnaSeq_score,dnaM_score,symbol,Entrez
ENSG00000000419,1.3330326233319292,1.5161591978166575,-0.04650549237550129,DPM1,8813
ENSG00000000457,1.77273497409102,0.847923531632919,-0.5064691669759988,SCYL3,57147
ENSG00000000460,0.5734407031651018,1.302694279074688,-0.753517384950398,C1orf112,55732
ENSG00000000938,3.005293155815816,0.02833126150192349,-0.12993873727441677,FGR,2268
ENSG00000000971,0.6528915399410765,0.4482310384985719,-0.3140670989275417,CFH,3075
ENSG00000001036,1.0756051390517256,0.27555467016647733,0.33545404616253205,FUCA2,2519
ENSG00000001084,0.8791753640449321,0.011705244930551589,-0.2931520997859609,GCLC,2729
ENSG00000001167,2.5533486136087435,2.4774371148228735,0.02098186141750232,NFYA,4800
ENSG00000001460,1.0589936278445746,0.16642667014401463,NA,STPG1,90529
ENSG00000001461,0.9010986909367876,0.6022965539718279,-0.4810784832420862,NIPAL3,57185
ENSG00000001561,0.20647432983965805,2.3243988699943485,-0.35640468726231644,ENPP4,22875
ENSG00000001617,1.37805996873851,0.44617460654128616,-0.24932294747000025,SEMA3F,6405
ENSG00000001626,1.0131691357975996,0.07560325366629396,0.1413541004318226,CFTR,1080
ENSG00000001629,5.741748222504039,1.3194921877846384,-0.3272130598607785,ANKIB1,54467
ENSG00000001630,1.0981377813291489,0.11414509663511242,-0.00662738438958754,CYP51A1,1595
ENSG00000001631,2.9180826891027025,0.26599542347951594,-0.19852026573801113,KRIT1,889
ENSG00000002016,0.18370582653516537,0.07033256493523153,0.855117446779141,RAD52,5893
ENSG00000002079,2.1922161162274687,0.13493580394268342,0.2303722339879171,MYH16,84176
ENSG00000002330,1.756744244650232,0.07982597312227376,-0.35455859713278515,BAD,572
ENSG00000002549,-0.3049557542261705,0.39996236671632307,-0.39148176634963855,LAP3,51056
ENSG00000002587,0.4033328985943413,1.207481616303298,-0.00261952462669674,HS3ST1,9957
ENSG00000002726,0.1254695989914045,0.10252001919886918,NA,AOC1,26
ENSG00000002745,0.9436416087825004,0.19450917784790522,0.3956498134739319,WNT16,51384
ENSG00000002746,2.5454520721076994,0.1423778383543559,-0.19768244051069064,HECW1,23072
ENSG00000002822,0.2625427932081531,0.9679511142773883,0.397798189640423,MAD1L1,8379
ENSG00000002834,1.327145002677976,1.938959943264996,-0.4679353428724195,LASP1,3927
ENSG00000002919,0.33713638697255865,0.8623007635179731,1.5347076505027373,SNX11,29916
ENSG00000002933,0.03822730767283672,1.855485302047863,-0.6033056529095361,TMEM176A,55365
ENSG00000003056,0.5362044324025953,0.046838535754303946,-0.5434314304795608,M6PR,4074
ENSG00000003137,1.5535736949529306,0.4872899956635945,0.19182592143261137,CYP26B1,56603
ENSG00000003147,0.9049229414326176,1.997153328131996,0.1960768136169076,ICA1,3382
ENSG00000003249,1.1671712868442163,0.8483911001531492,0.02656608926634513,DBNDD1,79007
ENSG00000003393,0.09578069757349872,1.9965446577619768,-0.05549791063416083,ALS2,57679
ENSG00000003400,0.6046841458180259,2.823703329932908,-9.408684205998812e-4,CASP10,843
ENSG00000003402,0.7769877620396092,4.045248472426488,7.426871841713599e-6,CFLAR,8837
ENSG00000003436,0.49025541152602886,1.4907246893592254,-0.9243398260596776,TFPI,7035
ENSG00000003509,1.989597782495922,0.47684464264904886,NA,NDUFAF7,55471
ENSG00000003756,1.1425850847090098,2.073082460223844,-0.0686581736495348,RBM5,10181
ENSG00000003987,0.8317197139533157,0.6648302333994294,0.16757674190863597,MTMR7,9108
ENSG00000003989,0.01773980417096437,2.856953965790785,-0.7459420729507583,SLC7A2,6542
ENSG00000004059,0.9587098679562716,1.8387376932172927,-0.3958715237643555,ARF5,381
ENSG00000004139,2.702125803710085,0.2713654836874974,-0.09149344110721386,SARM1,23098
ENSG00000004142,2.1933637591343165,0.8113351574037974,-0.46841608229937504,POLDIP2,26073
ENSG00000004399,0.6294914000197337,0.002603873593797792,-0.16572863479273142,PLXND1,23129
ENSG00000004455,1.3065367105652093,0.0036143375237763396,0.06532741460412232,AK2,204
ENSG00000004468,2.494659720722068,1.9496167329085061,-0.0965960136437619,CD38,952
ENSG00000004478,1.181277179058882,0.8265357145613335,-0.4182975038461807,FKBP4,2288
ENSG00000004487,0.9767249918069784,0.04633307996030309,-0.7661893440728944,KDM1A,23028
ENSG00000004534,3.0332312853262526,1.4262501254759838,-0.1900120299936152,RBM6,10180
ENSG00000004660,1.116445764683367,0.9274763055817865,0.10723083553552396,CAMKK1,84254
ENSG00000004700,-0.14655895983788597,1.3813393065227142,-0.3606383233161301,RECQL,5965
ENSG00000004766,1.1485621097552785,0.6989296577191192,-0.872654494700909,CCDC132,55610
ENSG00000004776,1.1059411624451168,4.314169357131798,-0.03509022136982556,HSPB6,126393
ENSG00000004777,0.35185617705689726,2.7832622699548946,NA,ARHGAP33,115703
ENSG00000004779,0.9687647093216848,0.10402910357589633,-0.6065616351081335,NDUFAB1,4706
ENSG00000004799,-0.2734038979683216,0.5285448651737796,-0.0338473022927207,PDK4,5166
