"cpg","seqnames","start","end","GREAT_annotation","UCSC_RefGene_Group","UCSC_RefGene_Accession","UCSC_RefGene_Name","Relation_to_Island","state","estimate","se","pVal.fixed","pVal.random","pValQ","direction","pVal.final","fdr","GASPARONI_estimate","GASPARONI_se","GASPARONI_pValue","GASPARONI_fdr","LONDON_estimate","LONDON_se","LONDON_pValue","LONDON_fdr","MtSinai_estimate","MtSinai_se","MtSinai_pValue","MtSinai_fdr","ROSMAP_estimate","ROSMAP_se","ROSMAP_pValue","ROSMAP_fdr","isDEJager","isMtSinai","isLunnon","isGasparoni","isAnyPreviousStudy","isGasparoniNeuron","isGasparoniGlia","isGasparoniGeneNeuron","isGasparoniGeneGlia","isDEJager_gene","isMtSinai_gene","isLunnon_gene","isGasparoni_gene","isAnyPreviousStudy_gene"
"cg22962123","chr7",27153605,27153606,"HOXA2 (-11176); HOXA3 (+5608)","1stExon;5'UTR","NM_030661;NM_153631;NM_153632","HOXA3","Island","Repressed PolyComb",0.0803362576801025,0.00943835342709863,1.71429018499326e-17,2.42373545508522e-10,0.143027747204804,"++++",1.71429018499326e-17,7.72587729121838e-12,0.119490117284002,0.0305599376451866,0.000301617125327947,0.999927573044146,0.0741245157996228,0.0159968842406194,1.19369126839885e-05,0.065023074340107,0.1188280404149,0.0252227838636258,6.49450970159951e-06,0.05786004,0.0636192879188752,0.0146252169852232,1.57812555139432e-05,0.0985650715913436,1,1,0,0,1,0,0,1,0,1,1,0,0,1
"cg01301319","chr7",27153580,27153581,"HOXA2 (-11151); HOXA3 (+5633)","1stExon;5'UTR","NM_030661;NM_153631;NM_153632","HOXA3","Island","Repressed PolyComb",0.056428202367333,0.00674334544824896,5.86126778986145e-17,5.86126778986145e-17,0.482669698393208,"++++",5.86126778986145e-17,1.3207634305979e-11,0.0805964561052771,0.0271448836628888,0.00473099865407343,0.999927573044146,0.0551133476956942,0.0128733811445471,4.59509937524932e-05,0.0926507804282272,0.0696159029187176,0.0143486284011826,3.598841691706e-06,0.046081437616779,0.0473014855663008,0.0101311250249349,3.67217581880481e-06,0.05101331,0,1,0,0,1,0,0,1,0,1,1,0,0,1
"cg21806242","chr11",72532891,72532892,"ATG16L2 (+7539); FCHSD2 (+320414)","Body","NM_033388","ATG16L2","Island","Flanking Active TSS",0.0815118352655786,0.0099921819584861,3.41857026664888e-16,3.12099700233449e-15,0.365557798470455,"++++",3.41857026664888e-16,5.13554718307328e-11,0.0748657112048115,0.0329166915327686,0.0276519691650088,0.999927573044146,0.0706366171563704,0.0169784262503787,7.19098805807247e-05,0.102903854115015,0.119690229388432,0.0237789035676771,1.65218434918596e-06,0.04608144,0.0753745902092374,0.016105640358673,3.48518347610287e-06,0.05101331,1,1,0,0,1,0,0,0,0,1,1,0,0,1
"cg06635946","chr22",46470016,46470017,"WNT7B (-97008); PPARA (-76482)",NA,NA,NA,"S_Shore","Active TSS",0.0825093929544398,0.0102352217933544,7.54752806949438e-16,7.54752806949438e-16,0.856284972242096,"++++",7.54752806949438e-16,8.50370553179844e-11,0.0721228272670251,0.0249719282206866,0.005888866968151,0.999927573044146,0.0929323438763702,0.0158821911877796,7.59496895133063e-08,0.0171187941923859,0.0735879117453705,0.0274060694940817,0.00824321594833519,0.4481203,0.0776772501005801,0.0194395090890661,7.17601027732546e-05,0.1770642,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"cg07061298","chr7",27153847,27153848,"HOXA2 (-11418); HOXA3 (+5366)","5'UTR;TSS1500","NM_030661;NM_153631;NM_153632","HOXA3","N_Shore","Repressed PolyComb",0.0923644421345581,0.0116333499484974,2.02792576910779e-15,2.02792576910779e-15,0.677020804426386,"++++",2.02792576910779e-15,1.82787089198531e-10,0.0913281852997431,0.0416846703291457,0.0335608301234664,0.999927573044146,0.0924399520797279,0.0180610574020764,1.70797407184837e-06,0.0405233029353022,0.118501240003834,0.02668850319803,1.96431958278243e-05,0.07904731,0.0768656269193934,0.0206546271385101,0.000215026353761025,0.2630284,0,1,0,0,1,1,0,1,0,1,1,0,0,1
"cg04917446","chr17",46699073,46699074,"HOXB8 (-6773); HOXB9 (+4765)","3'UTR","NM_024017","HOXB9","Island","Repressed PolyComb",0.0584220009453451,0.00750362870452714,6.92553087559053e-15,6.92553087559053e-15,0.616833859214309,"++++",6.92553087559053e-15,5.20193937892794e-10,0.0373113828766032,0.0275548112763849,0.182326417077456,0.999927573044146,0.0554348402395364,0.0107046825063247,1.33146134493358e-06,0.037394201690675,0.0810754816607893,0.0213757825599365,0.000231490704574902,0.1746666,0.0591987235358939,0.0134495204257408,1.25417834050574e-05,0.09025966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg20864214","chr11",73054121,73054122,"RELT (-33187); ARHGEF17 (+34788)","Body","NM_014786","ARHGEF17","Island","Active TSS",0.0734511325496556,0.00961016517498379,2.12108190417416e-14,2.12108190417416e-14,0.496428466098799,"++++",2.12108190417416e-14,1.19489823395461e-09,0.0903161453449354,0.0337904654190389,0.0103721746229432,0.999927573044146,0.0766084146881804,0.0154908763933008,3.45606522726197e-06,0.0540187688516451,0.0935230792497551,0.0221194446266926,4.53420272173803e-05,0.1044714,0.0550189054223768,0.016349910143794,0.000809721236672049,0.3954622,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"cg03672272","chr22",46470191,46470192,"WNT7B (-97183); PPARA (-76307)",NA,NA,NA,"S_Shore","Active TSS",0.0585934753861107,0.00766088522170529,2.03503457782791e-14,2.03503457782791e-14,0.93687233733928,"++++",2.03503457782791e-14,1.19489823395461e-09,0.0607407072191166,0.0238718369750984,0.0143663506262211,0.999927573044146,0.063852538013957,0.0125790800509916,2.0302116349902e-06,0.0457602596786069,0.0507382247269215,0.0168509057638245,0.00315592969148402,0.3610412,0.0568773549970628,0.0135548838205616,3.08926907644435e-05,0.1234552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cg09596958","chr12",58132105,58132106,"AGAP2 (-77)","Body;TSS200","NM_001122772;NM_014770","AGAP2","N_Shore","Bivalent/Poised TSS",0.0925202149300332,0.0122054407353217,3.44906549223811e-14,3.44906549223811e-14,0.512266037091824,"++++",3.44906549223811e-14,1.72711954523824e-09,0.0743000935971357,0.0461708604487471,0.114405791854203,0.999927573044146,0.0913211903143166,0.0214689452861456,5.09243516563453e-05,0.0935880553545283,0.130066462286231,0.0286216483466456,1.29799180424342e-05,0.06636693,0.0803640371754614,0.0187210860768712,2.03120835104699e-05,0.1108108,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"cg17775899","chr7",27179426,27179427,"HOXA4 (-9009); HOXA5 (+3860)",NA,NA,NA,"Island","Repressed PolyComb",0.0498190447425355,0.00659541103765041,4.23414832790026e-14,4.23414832790026e-14,0.643155806879594,"++++",4.23414832790026e-14,1.7347498160695e-09,0.059649994570794,0.0239994934930212,0.0166347127061875,0.999927573044146,0.0523310534229679,0.0122054781101222,4.48779939213951e-05,0.0919576614263976,0.0624156109605364,0.0151651639112246,6.98614344485992e-05,0.1190683,0.04111578692488,0.00990543030847326,3.74889973199435e-05,0.1326874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
